0,1,2,3,4
-314,-842,309,999,597
-30,35,-51,997,571
-207,131,-102,988,565
29,-83,62,990,616
-33,-105,105,998,895
27,67,15,991,951
-154,-316,111,990,939
61,-18,26,991,593
-190,-453,287,992,517
-1,-14,40,990,481
140,33,-84,982,531
-188,-519,219,990,799
220,377,-95,992,927
-415,-1123,351,988,919
77,-1363,-281,992,601
-38,1697,253,991,475
-624,-1284,392,991,459
52,140,141,993,551
3,-215,74,986,928
379,-463,-275,990,964
139,-399,62,990,959
84,-474,-128,984,590
545,-1101,52,985,509
-127,-323,127,988,493
-68,-246,21,990,484
328,-1166,-431,991,489
32,55,38,989,800
-185,462,150,992,952
112,10,-11,990,879
342,423,86,993,542
-251,-1215,287,987,493
